Sample Code,Site ,Taxa,Species,Bone Part,Phase,Cut,Unit,Square,Level (cm),Collagen (mg),Yield (%),C% mean,C% 1?,?13CA,?13CB,?13CC,?13C mean,?13C 1?,N% mean,N% 1?,?15NA,?5N B,?5N C,?15N mean,?15N 1?,C/N ratio,Replicas,Session
SAF21,Salvatierra,Muscovy duck,Cairina moschata,Metapodial,3,99,9,210/100,All layer,20,2.8,37.3,1.4,-10.2,-9.5,-9.5,-9.7,0.4,12.9,0.7,7.9,8.0,8.0,8.0,0.1,3.2,3,3
SAF22,Salvatierra,Swamp eel,Synbranchus spp.,Dentary,3,99,9,210/100,All Layer,25,3.0,17.8,0.6,-15.6,-15.6,-15.6,-15.6,0.0,6.4,0.2,5.9,6.2,6.2,6.1,0.1,3.1,3,3
SAF23,Salvatierra,Snake,Unknown,Vertebrae,3,99,9,208/100,All Layer,20,2.6,18.3,1.0,-16.9,-16.8,-16.8,-16.8,0.0,6.5,0.4,9.3,9.3,9.3,9.3,0.0,3.4,3,3
SAF24,Salvatierra,Caiman,Caiman sp.,Bone plate,3,99,9,208/100,All Layer,47,3.6,25.4,1.4,-16.1,-16.1,-16.2,-16.1,0.0,9.7,0.1,4.8,4.9,4.9,4.8,0.1,3.1,3,3
SAF25,Salvatierra,6 band armadillo,Euphractus sexcinctus,Bone plate,3,99,9,208/100,All Layer,30,3.9,39.5,1.6,-7.4,-7.3,-7.4,-7.4,0.0,14.7,0.2,9.5,9.6,9.6,9.6,0.1,3.1,3,3
SAF26,Salvatierra,Deer,Mazama sp.,Tarsal,3,99,9,208/100,All Layer,77,8.7,42.5,2.7,-21.7,-21.5,-21.5,-21.6,0.1,16.3,0.4,4.5,4.7,4.7,4.6,0.1,3.0,3,3
SAF27,Salvatierra,9 band armadillo,Dasypus novemcinctus  ,Radius,3,99,9,204/99,160-170,25,4.2,41.6,1.0,-9.8,-9.3,-9.3,-9.5,0.3,15.3,0.1,8.0,8.1,8.1,8.0,0.1,3.1,3,3
SAF28,Salvatierra,Deer,Mazama sp.,Metapodial,3,99,9,207/98,180-190,34,4.2,19.4,1.2,-19.1,-19.1,-19.0,-19.1,0.0,7.0,0.3,4.3,4.4,4.4,4.4,0.1,3.3,3,3
SAF29,Salvatierra,Muscovy duck,Cairina moschata,Humerus,3,99,9,105/100,All Layer,27,5.7,42.5,0.1,-8.9,-8.7,-8.7,-8.8,0.1,15.1,0.1,7.8,7.9,7.9,7.8,0.0,3.2,3,3
SAF30,Salvatierra,Lungfish eel,Lepidosiren paradoxa,Tooth plate,3,99,9,105/100,All Layer,30,4.8,30.6,1.0,-15.9,-15.9,-15.9,-15.9,0.0,11.5,0.4,5.9,6.0,6.0,6.0,0.1,3.0,3,3
SAF31,Salvatierra,Swamp eel,Synbranchus spp.,Dentary,3,99,9,105/100,All Layer,46,5.2,17.1,1.2,-17.9,-17.9,-18.2,-18.0,0.1,6.3,0.5,6.5,6.9,6.9,6.7,0.2,3.0,3,3
SAF32,Salvatierra,Deer,Mazama sp.,Ulna,3,99,9,105/100,All Layer,34,6.7,40.8,0.8,-22.5,-22.5,-22.6,-22.5,0.0,15.0,0.0,6.0,6.1,6.1,6.0,0.1,3.1,3,3
SAF33,Salvatierra,Agouti,Dasyprocta sp.,Mandible,3,99,9,105/100,All Layer,45,4.8,30.9,1.4,-12.6,-12.6,-12.6,-12.6,0.0,11.6,0.5,3.2,3.4,3.4,3.4,0.1,3.0,3,3
SAF34,Salvatierra,Deer,Mazama sp.,Falange,3,99,9,206/98,170-180,44,5.1,25.8,0.8,-21.2,-21.2,-21.2,-21.2,0.0,9.3,0.3,4.5,4.6,4.6,4.5,0.1,3.1,3,3
SAF35,Salvatierra,Lungfish eel,Lepidosiren paradoxa,Tooth plate,3,99,9,206/98,170-180,47,4.3,15.7,0.8,-14.7,-14.7,-14.7,-14.7,0.0,5.8,0.3,4.7,4.9,4.9,4.9,0.1,3.0,3,3
SAF36,Salvatierra,Agouti,Dasyprocta sp.,Mandible,3,99,9,209/98,180-190,14,2.0,39.8,1.0,-14.7,-14.7,-14.7,-14.7,0.0,14.0,0.1,3.0,3.1,3.1,3.1,0.1,3.3,3,3
SAF37,Salvatierra,Agouti,Dasyprocta sp.,Femur,3,99,9,208/98,170-180,9,1.3,42.3,2.5,-11.5,-11.4,-11.4,-11.4,0.0,15.0,0.8,4.7,4.8,4.8,4.8,0.0,3.4,3,3
SAF38,Salvatierra,Deer,Mazama sp.,Falange,3,99,9,208/98,170-180,69,6.2,24.3,1.3,-19.9,-19.8,-19.9,-19.9,0.0,9.0,0.5,5.4,5.4,5.4,5.4,0.0,3.0,3,3
SAF39,Salvatierra,Muscovy duck,Cairina moschata,Coracoid,3,99,9,207/98,200-210,42,8.9,42.7,2.1,-16.5,-17.2,-16.5,-16.7,0.4,15.5,0.0,5.7,5.8,5.8,5.8,0.0,3.2,3,3
SAF40,Salvatierra,Agouti,Dasyprocta sp.,Mandible,3,99,9,210/99,180-190,16,2.0,31.3,1.7,-12.6,-12.6,-12.6,-12.6,0.0,11.0,0.1,3.4,3.5,3.5,3.5,0.0,3.2,3,3
